schema,case_id,sequence_id,frame_id,reset_before,sub_id,block_type,right_shape,left_shape,n_spec,tl,fl,fr,nl,nr,pcm_base,pcm_count,out_base,fft_n,fft_sign,fft_scale_mask,exp_fold,exp_pre,fft_scale_exp,exp_fft_out,exp_post
mdct-r2-fdkq15-v1,0,0,0,1,0,0,0,0,1,1024,1024,1024,0,0,0,2048,0,512,-1,101111111,2,4,8,12,12
mdct-r2-fdkq15-v1,0,0,1,0,0,0,1,0,1,1024,1024,1024,0,0,0,2048,0,512,-1,101111111,2,4,8,12,12
mdct-r2-fdkq15-v1,0,0,2,0,0,1,0,1,1,1024,1024,128,0,448,0,2048,0,512,-1,101111111,2,4,8,12,12
mdct-r2-fdkq15-v1,0,0,3,0,0,2,1,0,8,128,128,128,0,0,448,256,0,64,-1,101111,2,4,5,9,9
mdct-r2-fdkq15-v1,0,0,3,0,1,2,1,1,8,128,128,128,0,0,576,256,128,64,-1,101111,2,4,5,9,9
mdct-r2-fdkq15-v1,0,0,3,0,2,2,1,1,8,128,128,128,0,0,704,256,256,64,-1,101111,2,4,5,9,9
mdct-r2-fdkq15-v1,0,0,3,0,3,2,1,1,8,128,128,128,0,0,832,256,384,64,-1,101111,2,4,5,9,9
mdct-r2-fdkq15-v1,0,0,3,0,4,2,1,1,8,128,128,128,0,0,960,256,512,64,-1,101111,2,4,5,9,9
mdct-r2-fdkq15-v1,0,0,3,0,5,2,1,1,8,128,128,128,0,0,1088,256,640,64,-1,101111,2,4,5,9,9
mdct-r2-fdkq15-v1,0,0,3,0,6,2,1,1,8,128,128,128,0,0,1216,256,768,64,-1,101111,2,4,5,9,9
mdct-r2-fdkq15-v1,0,0,3,0,7,2,1,1,8,128,128,128,0,0,1344,256,896,64,-1,101111,2,4,5,9,9
mdct-r2-fdkq15-v1,0,0,4,0,0,3,0,1,1,1024,128,1024,448,0,0,2048,0,512,-1,101111111,2,4,8,12,12
mdct-r2-fdkq15-v1,0,0,5,0,0,0,1,0,1,1024,1024,1024,0,0,0,2048,0,512,-1,101111111,2,4,8,12,12
mdct-r2-fdkq15-v1,1,1,0,1,0,0,0,0,1,1024,1024,1024,0,0,0,2048,0,512,-1,101111111,2,4,8,12,12
mdct-r2-fdkq15-v1,1,1,1,0,0,0,1,0,1,1024,1024,1024,0,0,0,2048,0,512,-1,101111111,2,4,8,12,12
mdct-r2-fdkq15-v1,1,1,2,0,0,1,0,1,1,1024,1024,128,0,448,0,2048,0,512,-1,101111111,2,4,8,12,12
mdct-r2-fdkq15-v1,1,1,3,0,0,2,1,0,8,128,128,128,0,0,448,256,0,64,-1,101111,2,4,5,9,9
mdct-r2-fdkq15-v1,1,1,3,0,1,2,1,1,8,128,128,128,0,0,576,256,128,64,-1,101111,2,4,5,9,9
mdct-r2-fdkq15-v1,1,1,3,0,2,2,1,1,8,128,128,128,0,0,704,256,256,64,-1,101111,2,4,5,9,9
mdct-r2-fdkq15-v1,1,1,3,0,3,2,1,1,8,128,128,128,0,0,832,256,384,64,-1,101111,2,4,5,9,9
mdct-r2-fdkq15-v1,1,1,3,0,4,2,1,1,8,128,128,128,0,0,960,256,512,64,-1,101111,2,4,5,9,9
mdct-r2-fdkq15-v1,1,1,3,0,5,2,1,1,8,128,128,128,0,0,1088,256,640,64,-1,101111,2,4,5,9,9
mdct-r2-fdkq15-v1,1,1,3,0,6,2,1,1,8,128,128,128,0,0,1216,256,768,64,-1,101111,2,4,5,9,9
mdct-r2-fdkq15-v1,1,1,3,0,7,2,1,1,8,128,128,128,0,0,1344,256,896,64,-1,101111,2,4,5,9,9
mdct-r2-fdkq15-v1,1,1,4,0,0,3,0,1,1,1024,128,1024,448,0,0,2048,0,512,-1,101111111,2,4,8,12,12
mdct-r2-fdkq15-v1,1,1,5,0,0,0,1,0,1,1024,1024,1024,0,0,0,2048,0,512,-1,101111111,2,4,8,12,12
mdct-r2-fdkq15-v1,2,2,0,1,0,0,0,0,1,1024,1024,1024,0,0,0,2048,0,512,-1,101111111,2,4,8,12,12
mdct-r2-fdkq15-v1,2,2,1,0,0,0,1,0,1,1024,1024,1024,0,0,0,2048,0,512,-1,101111111,2,4,8,12,12
mdct-r2-fdkq15-v1,2,2,2,0,0,1,0,1,1,1024,1024,128,0,448,0,2048,0,512,-1,101111111,2,4,8,12,12
mdct-r2-fdkq15-v1,2,2,3,0,0,2,1,0,8,128,128,128,0,0,448,256,0,64,-1,101111,2,4,5,9,9
mdct-r2-fdkq15-v1,2,2,3,0,1,2,1,1,8,128,128,128,0,0,576,256,128,64,-1,101111,2,4,5,9,9
mdct-r2-fdkq15-v1,2,2,3,0,2,2,1,1,8,128,128,128,0,0,704,256,256,64,-1,101111,2,4,5,9,9
mdct-r2-fdkq15-v1,2,2,3,0,3,2,1,1,8,128,128,128,0,0,832,256,384,64,-1,101111,2,4,5,9,9
mdct-r2-fdkq15-v1,2,2,3,0,4,2,1,1,8,128,128,128,0,0,960,256,512,64,-1,101111,2,4,5,9,9
mdct-r2-fdkq15-v1,2,2,3,0,5,2,1,1,8,128,128,128,0,0,1088,256,640,64,-1,101111,2,4,5,9,9
mdct-r2-fdkq15-v1,2,2,3,0,6,2,1,1,8,128,128,128,0,0,1216,256,768,64,-1,101111,2,4,5,9,9
mdct-r2-fdkq15-v1,2,2,3,0,7,2,1,1,8,128,128,128,0,0,1344,256,896,64,-1,101111,2,4,5,9,9
mdct-r2-fdkq15-v1,2,2,4,0,0,3,0,1,1,1024,128,1024,448,0,0,2048,0,512,-1,101111111,2,4,8,12,12
mdct-r2-fdkq15-v1,2,2,5,0,0,0,1,0,1,1024,1024,1024,0,0,0,2048,0,512,-1,101111111,2,4,8,12,12
