case_id,frame_id,sub_id,tl,fft_n,fft_rel_rms,fft_rms_error,fft_max_abs_error,fft_snr_db,mdct_rel_rms,mdct_rms_error,mdct_max_abs_error,mdct_snr_db
0,0,0,1024,512,0,0,0,inf,0,0,0,inf
0,1,0,1024,512,0,0,0,inf,0,0,0,inf
0,2,0,1024,512,0,0,0,inf,0,0,0,inf
0,3,0,128,64,0,0,0,inf,0,0,0,inf
0,3,1,128,64,0,0,0,inf,0,0,0,inf
0,3,2,128,64,0,0,0,inf,0,0,0,inf
0,3,3,128,64,0,0,0,inf,0,0,0,inf
0,3,4,128,64,0,0,0,inf,0,0,0,inf
0,3,5,128,64,0,0,0,inf,0,0,0,inf
0,3,6,128,64,0,0,0,inf,0,0,0,inf
0,3,7,128,64,0,0,0,inf,0,0,0,inf
0,4,0,1024,512,0,0,0,inf,0,0,0,inf
0,5,0,1024,512,0,0,0,inf,0,0,0,inf
1,0,0,1024,512,0.001070620210637659,1.6335812110636732e-06,1.7872854270101157e-06,59.407291249584844,0.0036714113370691745,3.9611825971939855e-06,8.8752299073209225e-06,48.703339106914711
1,1,0,1024,512,1.3339243536117295e-05,1.69086751063872e-05,2.7577904985202591e-05,97.497375968217284,2.0964913312725803e-05,1.8791126188281907e-05,4.7093572793421856e-05,93.570138580192918
1,2,0,1024,512,1.2169655939103057e-05,1.394164477223526e-05,2.498561216669691e-05,98.294433999673487,1.6090597691950925e-05,1.3034316373141742e-05,3.501147411355543e-05,95.868556471039795
1,3,0,128,64,0,0,0,inf,0,0,0,inf
1,3,1,128,64,0,0,0,inf,0,0,0,inf
1,3,2,128,64,0,0,0,inf,0,0,0,inf
1,3,3,128,64,0,0,0,inf,0,0,0,inf
1,3,4,128,64,0,0,0,inf,0,0,0,inf
1,3,5,128,64,0,0,0,inf,0,0,0,inf
1,3,6,128,64,0,0,0,inf,0,0,0,inf
1,3,7,128,64,0.0035062088216791308,2.1400163496054816e-07,2.1811248612857529e-07,49.103244437963426,0.011630751482026141,5.0196430927955141e-07,1.0767314639750439e-06,38.687844477652007
1,4,0,1024,512,1.2995109708628057e-05,1.6471952298481105e-05,2.6729320413633913e-05,97.724400994054804,2.0806783613595033e-05,1.864882333507819e-05,4.896552004485244e-05,93.635900987624723
1,5,0,1024,512,0.0025361414011021649,1.5479466537633795e-06,2.0075824105489354e-06,51.916530725534471,0.0092262620562319764,3.9819045806675848e-06,9.1798838279717482e-06,40.699484283175906
2,0,0,1024,512,6.8028564510066022e-08,4.3536963998519268e-06,1.7915506528006937e-05,143.3461738622629,1.2661458421686448e-05,0.00057297478709606429,0.0017409789076878093,97.950325336593124
2,1,0,1024,512,1.0055956691102898e-06,6.0877631035869487e-05,0.00054073895062644553,119.95153211466699,1.2798732508940091e-05,0.00054788100956399094,0.0016553521643194128,97.856660750213308
2,2,0,1024,512,6.1495342630184073e-06,0.00042630195103100283,0.0024196050663403777,104.22315548826504,1.6899344580956239e-05,0.00082838049748514919,0.0079556613766271767,95.442602772097842
2,3,0,128,64,1.466092002500836e-05,0.00017908712549934518,0.00042392931365458931,96.676775506248276,1.8504564384898033e-05,0.00015983345364501162,0.00036485181737844208,94.654422683100492
2,3,1,128,64,1.6353530184787953e-05,0.00021225064625239294,0.00043284254419205558,95.727769662172264,2.434046872376343e-05,0.00022338399299213235,0.00092103985869584903,92.273421256561164
2,3,2,128,64,1.6238207459106622e-05,0.00021631914153865477,0.00041935611390080894,95.789238287101185,2.3534537720513233e-05,0.00022169122455583865,0.00065354727139599333,92.565886558919019
2,3,3,128,64,1.5565249681737407e-05,0.00021057909744388821,0.00039703829597569643,96.156878168397611,2.378965926987776e-05,0.00022757954155691761,0.00060884371751512845,92.472235563013911
2,3,4,128,64,1.5382283124223935e-05,0.0002140095252141107,0.0005243585050012621,96.259583986839033,2.2238994199995668e-05,0.00021878286081055182,0.0011206792752815886,93.057697168480786
2,3,5,128,64,1.5087196413557715e-05,0.0001909847864778645,0.00054899135054802266,96.427829114684812,2.3783570859980153e-05,0.00021288867752232936,0.0007934993034197646,92.474458798921418
2,3,6,128,64,1.6357385812630588e-05,0.00021188353861876572,0.00048647639194325043,95.725722054695666,2.3496089443388819e-05,0.00021521123094441101,0.00056350191514686898,92.580088264761073
2,3,7,128,64,1.5993619978289685e-05,0.00022136480787677152,0.00049678454602259628,95.921064547883859,2.2740624772122464e-05,0.00022256157930070284,0.00057926487230730572,92.863952155008008
2,4,0,1024,512,1.9169361907184988e-05,0.00077352042099839747,0.0050977015098113351,94.347846865861499,3.4244568935113931e-05,0.00097710378682260078,0.015264035923792107,89.30816592491442
2,5,0,1024,512,1.9704922834250334e-05,0.00073201866587940877,0.0026593804344255071,94.108505230405399,2.5955768094965274e-05,0.00068181422278794531,0.0034738577651722835,91.715322295079062
